machine_id,timestamp,age_years,temperature_c,vibration_mm_s,current_a,voltage_v,rpm,oil_pressure_bar,noise_db,bearing_temp_c,failure_imminent,maintenance_needed,condition
MOTOR_001,2024-01-01 00:00:00,4.5,75.82,3.144,11.53,396.2,1498,4.61,66.4,55.26,0,0,NORMAL
MOTOR_001,2024-01-02 00:00:00,4.5,74.6,2.577,12.28,402.6,1464,4.45,62.1,53.31,0,0,NORMAL
MOTOR_001,2024-01-03 00:00:00,4.5,81.03,2.69,11.95,398.1,1504,4.89,64.8,56.25,0,0,NORMAL
MOTOR_001,2024-01-04 00:00:00,4.5,80.68,3.183,11.43,397.5,1471,4.21,67.4,55.42,0,0,NORMAL
MOTOR_001,2024-01-05 00:00:00,4.5,70.86,2.578,11.47,396.9,1444,4.29,67.0,56.41,0,0,NORMAL
MOTOR_001,2024-01-06 00:00:00,4.5,76.2,3.058,12.27,400.4,1465,4.7,64.5,57.69,0,0,NORMAL
MOTOR_001,2024-01-07 00:00:00,4.5,77.4,3.285,12.97,398.3,1459,4.33,65.7,55.32,0,0,NORMAL
MOTOR_001,2024-01-08 00:00:00,4.5,70.52,3.89,11.94,397.3,1451,4.04,66.3,55.33,0,0,NORMAL
MOTOR_001,2024-01-09 00:00:00,4.5,79.96,3.21,12.36,400.6,1502,4.24,65.0,59.68,0,0,NORMAL
MOTOR_001,2024-01-10 00:00:00,4.5,72.43,3.761,12.07,399.5,1463,4.62,66.1,59.89,0,0,NORMAL
MOTOR_001,2024-01-11 00:00:00,4.5,80.43,3.058,12.83,405.8,1451,4.34,67.4,57.78,0,0,NORMAL
MOTOR_001,2024-01-12 00:00:00,4.5,74.6,2.871,12.39,399.2,1409,4.79,61.4,56.78,0,0,NORMAL
MOTOR_001,2024-01-13 00:00:00,4.5,78.89,3.413,12.46,395.8,1441,4.28,66.2,57.25,0,0,NORMAL
MOTOR_001,2024-01-14 00:00:00,4.5,75.87,3.715,13.63,397.5,1452,4.54,68.9,62.23,0,0,NORMAL
MOTOR_001,2024-01-15 00:00:00,4.5,80.94,3.375,12.26,396.5,1471,4.57,63.7,57.65,0,0,NORMAL
MOTOR_001,2024-01-16 00:00:00,4.5,79.4,3.697,12.71,398.9,1487,4.1,68.1,57.26,0,0,NORMAL
MOTOR_001,2024-01-17 00:00:00,4.5,85.55,4.072,13.0,398.1,1440,4.27,67.6,55.6,0,0,NORMAL
MOTOR_001,2024-01-18 00:00:00,4.5,82.46,4.188,12.48,397.8,1461,4.09,68.1,61.67,0,0,NORMAL
MOTOR_001,2024-01-19 00:00:00,4.5,80.15,3.674,12.28,404.2,1431,4.06,66.7,59.39,0,0,NORMAL
MOTOR_001,2024-01-20 00:00:00,4.5,81.13,4.379,12.64,397.3,1443,4.29,66.9,58.69,0,0,NORMAL
MOTOR_001,2024-01-21 00:00:00,4.5,85.93,3.656,13.33,398.6,1433,4.08,71.2,63.46,0,0,NORMAL
